ID,KOREAN
GATLING_GULL,갈매기관총
HEART,반쪽짜리 하트
HEARTS,완전한 하트
KEY,열쇠
BLANK,공포탄
AMMO,탄약
PLAY,플레이
LANGUAGE,언어
CLOSE,종료
PILOTWEAPON,파일럿 기본무기
SECRETBOX,비밀 보관함
PRISONERWEAPON,죄수 기본무기
FIREBOTTLE,죄수 기본 액티브
PAD,패드
PADMANUAL1,총탄이 바닥나면 파괴되면서
PADMANUAL2,상자를 하나 만들어내는 총입니다.
PADMANUAL3,이 패드는 한때 고대 마법사 집단에
PADMANUAL4,대한 소환장으로 사용되었습니다.
PADMANUAL5,"오랫동안 사용한 덕분에 세월의 흔적이 눈에 띄는데,"
PADMANUAL6,"특히 뒤, 뒤, 낮은 주먹 버튼이 그렇습니다."
PADMANUAL7,
PADMANUAL8,
PILOTWEAPONMANUAL1,파일럿의 기본 총입니다.
PILOTWEAPONMANUAL2,파일럿이 파트너에게 받은 
PILOTWEAPONMANUAL3,로그 스페셜은 절대 그를 실망시키지 않습니다.
PILOTWEAPONMANUAL4,"다소 엉성한 총으로, 안전장치가 반쯤 열린 상태에서 "
PILOTWEAPONMANUAL5,"발사된다고 합니다. 또,"
PILOTWEAPONMANUAL6, 종종 감당할 수 없는 문제를 일으키곤 합니다.
PILOTWEAPONMANUAL7,
PILOTWEAPONMANUAL8,
PILOTPASSIVEMANUAL1,탄환의 최대 숫자가 늘어납니다.
PILOTPASSIVEMANUAL2,몇 가지 의심스러운 합법 상품 때문에
PILOTPASSIVEMANUAL3,헤게모니에 붙잡힌 후로 파일럿은
PILOTPASSIVEMANUAL4,좀 더 은밀한 저장 방식으로 바꾸었습니다.
PILOTPASSIVEMANUAL5,
PILOTPASSIVEMANUAL6,
PILOTPASSIVEMANUAL7,
PILOTPASSIVEMANUAL8,
PRISONERWEAPONMANUAL1,죄수의 기본총입니다.
PRISONERWEAPONMANUAL2,이 저가형 리볼버는 한 악명 높은 
PRISONERWEAPONMANUAL3,도망자가 총굴로 가지고 들어온 것입니다.
PRISONERWEAPONMANUAL4,"헤게모니 지방법원 판사에 따르면, 그 죄수는 감옥에서"
PRISONERWEAPONMANUAL5,평생을 썩기보다 총굴로 들어가 범죄로 얼룩진 과거를 지우거나
PRISONERWEAPONMANUAL6,영원히 총굴에 갇히겠노라 애원했다고 합니다.
PRISONERWEAPONMANUAL7,"국가로서는 별다른 손해가 없는 만큼, 그의 간청은 받아들여졌고"
PRISONERWEAPONMANUAL8,그는 그렇게 총굴로 향하게 되었습니다.
PRISONERACTIVEMANUAL1, 
PRISONERACTIVEMANUAL2, 
PRISONERACTIVEMANUAL3, 
PRISONERACTIVEMANUAL4, 
PRISONERACTIVEMANUAL5, 
PRISONERACTIVEMANUAL6, 
PRISONERACTIVEMANUAL7, 
PRISONERACTIVEMANUAL8, 
SHOTGUN,총신 개조 산탄총
SHOTGUNMANUAL1,쉽게 숨길 수 있도록 개조한 산탄총입니다. 
SHOTGUNMANUAL2,"짧은 총열 때문에 총탄이 넓게 퍼지지만, "
SHOTGUNMANUAL3,근거리에서는 미개조 산탄총만큼이나 
SHOTGUNMANUAL4,치명적인 위력을 발휘합니다.
SHOTGUNMANUAL5, 
SHOTGUNMANUAL6, 
SHOTGUNMANUAL7, 
SHOTGUNMANUAL8, 
WEAPON,총
ACTIVE,액티브
PASSIVE,패시브
PRISONERPASSIVEMANUAL1,죄수가 총굴로 가지고 들어온 사진입니다.
PRISONERPASSIVEMANUAL2,틈으로 이동하는 중에 파일럿은 그녀에게
PRISONERPASSIVEMANUAL3,왜 항상 이 사진을 응시하는지 
PRISONERPASSIVEMANUAL4,물어본 적이 있습니다. 
PRISONERPASSIVEMANUAL5,나중에 그녀는 그 족쇄에서 풀려났습니다.
PRISONERPASSIVEMANUAL6,
PRISONERPASSIVEMANUAL7,
PRISONERPASSIVEMANUAL8,
PRISONERPASSIVE,분노의 사진
